,DIAGNOSIS_CODE,DIAGNOSIS_NAME,STD_INDICATOR,APPROVED_INDICATOR,CREATE_DATE,INPUT_CODE,INPUT_CODE_WB,DIAGNOSIS_DICT,DISEASE_SORT,CODE_VERSION
2235,C26.901,胃肠道恶性肿瘤,1,1,29-9月 -15,WCDEXZL,,,,ICD10_15
2237,C30.001,鼻腔恶性肿瘤,1,1,29-9月 -15,BQEXZL,,,,ICD10_15
2238,E03.901,甲状腺机能减退,1,1,29-9月 -15,JZXJNJT,,,,ICD10_15
2240,E03.903+G73.501*,甲状腺功能低下性肌病,1,1,29-9月 -15,JZXGNDXX,,,,ICD10_15
2241,E03.904+I43.801*,甲状腺机能减退性心脏病,1,1,29-9月 -15,JZXJNJTX,,,,ICD10_15
2243,E04.101,甲状腺结节,1,1,29-9月 -15,JZXJJ,,,,ICD10_15
2244,E04.102,甲状腺囊肿,1,1,29-9月 -15,JZXNZ,,,,ICD10_15
2248,E04.901,甲状腺肿,1,1,29-9月 -15,JZXZ,,,,ICD10_15
2249,E04.902,胸骨后甲状腺肿,1,1,29-9月 -15,XGHJZXZ,,,,ICD10_15
2250,E04.903,结节性甲状腺肿,1,1,29-9月 -15,JJXJZXZ,,,,ICD10_15
2252,E05.002+H06.201*,甲状腺机能亢进性突眼,1,1,29-9月 -15,JZXJNKJX,,,,ICD10_15
2253,E05.003+H06.202*,Graves病突眼,1,1,29-9月 -15,GRAVESBT,,,,ICD10_15
2257,E05.203,结节性甲状腺肿伴甲状腺机能亢进,1,1,29-9月 -15,JJXJZXZB,,,,ICD10_15
2262,E05.804,亚临床甲状腺功能亢进症,1,1,29-9月 -15,YLCJZXGN,,,,ICD10_15
2265,E05.901,甲状腺机能亢进,1,1,29-9月 -15,JZXJNKJ,,,,ICD10_15
2266,E05.902+G73.502*,甲状腺机能亢进性肌病,1,1,29-9月 -15,JZXJNKJX,,,,ICD10_15
2267,E05.903+I43.802*,甲状腺机能亢进性心脏病,1,1,29-9月 -15,JZXJNKJX,,,,ICD10_15
2268,E06.001,急性甲状腺炎,1,1,29-9月 -15,JXJZXY,,,,ICD10_15
2270,E06.101,亚急性甲状腺炎,1,1,29-9月 -15,YJXJZXY,,,,ICD10_15
2271,E06.103,亚急性肉芽肿性甲状腺炎,1,1,29-9月 -15,YJXRYZXJ,,,,ICD10_15
2272,E06.301,慢性淋巴细胞性甲状腺炎,1,1,29-9月 -15,MXLBXBXJ,,,,ICD10_15
2273,E06.301,桥本病(Hashimoto),1,1,29-9月 -15,QBBHASHI,,,,ICD10_15
2274,E06.301,桥本甲状腺炎,1,1,29-9月 -15,QBJZXY,,,,ICD10_15
2278,E06.502,慢性甲状腺炎,1,1,29-9月 -15,MXJZXY,,,,ICD10_15
2279,E06.901,甲状腺炎性包块,1,1,29-9月 -15,JZXYXBK,,,,ICD10_15
2280,E06.902,甲状腺炎,1,1,29-9月 -15,JZXY,,,,ICD10_15
2287,E07.803,甲状腺肿物,1,1,29-9月 -15,JZXZW,,,,ICD10_15
2289,E07.805,甲状腺功能正常性病变综合征,1,1,29-9月 -15,JZXGNZCX,,,,ICD10_15
2290,E07.806,甲状腺不典型增生,1,1,29-9月 -15,JZXBDXZS,,,,ICD10_15
2295,E10.001,1型糖尿病高渗性昏迷,1,1,29-9月 -15,XTNBGSXH,,,,ICD10_15
2296,E10.002,1型糖尿病性昏迷,1,1,29-9月 -15,XTNBXHM,,,,ICD10_15
2297,E10.101,1型糖尿病性酮症,1,1,29-9月 -15,XTNBXTZ,,,,ICD10_15
2298,E10.102,1型糖尿病性酮症酸中毒,1,1,29-9月 -15,XTNBXTZS,,,,ICD10_15
2299,E10.103,成人晚发自身免疫性糖尿病酮症,1,1,29-9月 -15,CRWFZSMY,,,,ICD10_15
2300,E10.201+N08.301*,1型糖尿病性肾病,1,1,29-9月 -15,XTNBXSB,,,,ICD10_15
2302,E10.302+H36.001*,1型糖尿病性视网膜病变,1,1,29-9月 -15,XTNBXSWM,,,,ICD10_15
2304,E10.402+G63.201*,1型糖尿病性周围神经病变,1,1,29-9月 -15,XTNBXZWS,,,,ICD10_15
2310,E10.502+I79.201*,1型糖尿病性周围血管病变,1,1,29-9月 -15,XTNBXZWX,,,,ICD10_15
2312,E10.504,1型糖尿病性足坏疽,1,1,29-9月 -15,XTNBXZHJ,,,,ICD10_15
2319,E10.702,1型糖尿病足,1,1,29-9月 -15,XTNBZ,,,,ICD10_15
2320,E10.901,1型糖尿病(IDDM),1,1,29-9月 -15,XTNBIDDM,,,,ICD10_15
2321,E10.902,成人隐匿性自身免疫性糖尿病,1,1,29-9月 -15,CRYNXZSM,,,,ICD10_15
2324,E11.001,2型糖尿病高渗性昏迷,1,1,29-9月 -15,XTNBGSXH,,,,ICD10_15
2327,E11.101,2型糖尿病性酮症酸中毒,1,1,29-9月 -15,XTNBXTZS,,,,ICD10_15
2328,E11.102,2型糖尿病性酮症,1,1,29-9月 -15,XTNBXTZ,,,,ICD10_15
2329,E11.201+N08.302*,2型糖尿病性肾病,1,1,29-9月 -15,XTNBXSB,,,,ICD10_15
2331,E11.301+H28.002*,2型糖尿病性白内障,1,1,29-9月 -15,XTNBXBNZ,,,,ICD10_15
2332,E11.302+H36.002*,2型糖尿病性视网膜病变,1,1,29-9月 -15,XTNBXSWM,,,,ICD10_15
2334,E11.402+G63.202*,2型糖尿病性周围神经病变,1,1,29-9月 -15,XTNBXZWS,,,,ICD10_15
2341,E11.501,2型糖尿病性足坏疽,1,1,29-9月 -15,XTNBXZHJ,,,,ICD10_15
2342,E11.502+I79.202*,2型糖尿病性周围血管病变,1,1,29-9月 -15,XTNBXZWX,,,,ICD10_15
2343,H17.803,角膜云翳,1,1,29-9月 -15,JMYY,,,,ICD10_15
2348,H18.101,大泡性角膜病,1,1,29-9月 -15,DPXJMB,,,,ICD10_15
2350,H18.401,角膜变性,1,1,29-9月 -15,JMBX,,,,ICD10_15
2351,H18.402,角膜带状变性,1,1,29-9月 -15,JMDZBX,,,,ICD10_15
2366,H18.803,角膜上皮脱落,1,1,29-9月 -15,JMSPTL,,,,ICD10_15
2368,H18.805,干燥性角膜炎,1,1,29-9月 -15,GZXJMY,,,,ICD10_15
2378,H20.001,急性虹膜睫状体炎,1,1,29-9月 -15,JXHMJZTY,,,,ICD10_15
2379,H20.002,创伤性虹膜睫状体炎,1,1,29-9月 -15,CSXHMJZT,,,,ICD10_15
2381,H20.004,前房积脓,1,1,29-9月 -15,QFJN,,,,ICD10_15
2392,H20.901,葡萄膜角膜炎,1,1,29-9月 -15,PTMJMY,,,,ICD10_15
2393,H20.902,虹膜炎,1,1,29-9月 -15,HMY,,,,ICD10_15
2394,H20.903,虹膜睫状体炎,1,1,29-9月 -15,HMJZTY,,,,ICD10_15
2395,H20.904,眼色素膜炎(前葡萄膜炎),1,1,29-9月 -15,YSSMYQPT,,,,ICD10_15
2397,H21.001,前房出血,1,1,29-9月 -15,QFCX,,,,ICD10_15
2398,H21.002,前房积血,1,1,29-9月 -15,QFJX,,,,ICD10_15
2402,H21.201,虹膜缺损,1,1,29-9月 -15,HMQS,,,,ICD10_15
2409,H21.501,陈旧性色素膜炎,1,1,29-9月 -15,CJXSSMY,,,,ICD10_15
2411,H21.503,虹膜粘连,1,1,29-9月 -15,HMNL,,,,ICD10_15
2416,H21.509,瞳孔移位,1,1,29-9月 -15,TKYW,,,,ICD10_15
2417,H21.510,后天性瞳孔异常,1,1,29-9月 -15,HTXTKYC,,,,ICD10_15
2420,H21.803,虹膜突出,1,1,29-9月 -15,HMTC,,,,ICD10_15
2425,H25.101,老年性白内障(核性),1,1,29-9月 -15,LNXBNZHX,,,,ICD10_15
2426,H25.201,老年性白内障(过熟期),1,1,29-9月 -15,LNXBNZGS,,,,ICD10_15
2428,H25.901,老年性白内障,1,1,29-9月 -15,LNXBNZ,,,,ICD10_15
2432,H26.101,外伤性白内障,1,1,29-9月 -15,WSXBNZ,,,,ICD10_15
2434,H26.201,并发性白内障,1,1,29-9月 -15,BFXBNZ,,,,ICD10_15
2441,H26.403,后发性白内障,1,1,29-9月 -15,HFXBNZ,,,,ICD10_15
2444,H26.901,白内障,1,1,29-9月 -15,BNZ,,,,ICD10_15
2445,H26.902,晶状体混浊,1,1,29-9月 -15,JZTHZ,,,,ICD10_15
2447,H27.101,晶状体脱位,1,1,29-9月 -15,JZTTW,,,,ICD10_15
2448,H27.102,晶状体不全脱位,1,1,29-9月 -15,JZTBQTW,,,,ICD10_15
2449,H27.801,人工晶体前膜,1,1,29-9月 -15,RGJTQM,,,,ICD10_15
2456,H30.901,脉络膜视网膜炎,1,1,29-9月 -15,MLMSWMY,,,,ICD10_15
2458,H30.903,视神经视网膜炎,1,1,29-9月 -15,SSJSWMY,,,,ICD10_15
2465,J20.904,急性气管支气管炎,1,1,29-9月 -15,JXQGZQGY,,,,ICD10_15
2466,J20.905,急性喘息性支气管炎,1,1,29-9月 -15,JXCXXZQG,,,,ICD10_15
2473,J30.402,过敏性鼻炎,1,1,29-9月 -15,GMXBY,,,,ICD10_15
2474,J31.001,慢性肥厚性鼻炎,1,1,29-9月 -15,MXFHXBY,,,,ICD10_15
2476,J31.003,慢性鼻炎,1,1,29-9月 -15,MXBY,,,,ICD10_15
2480,J31.101,慢性鼻咽炎,1,1,29-9月 -15,MXBYY,,,,ICD10_15
2481,J31.201,慢性咽炎,1,1,29-9月 -15,MXYY,,,,ICD10_15
2482,J31.202,慢性咽喉痛,1,1,29-9月 -15,MXYHT,,,,ICD10_15
2485,J32.001,上颌窦脓肿,1,1,29-9月 -15,SHDNZ,,,,ICD10_15
2486,J32.002,慢性上颌窦炎,1,1,29-9月 -15,MXSHDY,,,,ICD10_15
2488,J32.004,上颌窦炎,1,1,29-9月 -15,SHDY,,,,ICD10_15
2490,J32.006,坏死性上颌窦炎,1,1,29-9月 -15,HSXSHDY,,,,ICD10_15
2493,J32.101,额窦脓肿,1,1,29-9月 -15,EDNZ,,,,ICD10_15
2495,J32.103,额窦炎,1,1,29-9月 -15,EDY,,,,ICD10_15
2496,J32.201,慢性筛窦炎,1,1,29-9月 -15,MXSDY,,,,ICD10_15
2497,J32.202,筛窦炎,1,1,29-9月 -15,SDY,,,,ICD10_15
2501,J32.301,慢性蝶窦炎,1,1,29-9月 -15,MXDDY,,,,ICD10_15
2505,J32.801,慢性多鼻窦炎,1,1,29-9月 -15,MXDBDY,,,,ICD10_15
2506,J32.901,慢性鼻窦炎,1,1,29-9月 -15,MXBDY,,,,ICD10_15
2507,J32.902,副鼻窦炎,1,1,29-9月 -15,FBDY,,,,ICD10_15
2512,J32.907,鼻窦炎,1,1,29-9月 -15,BDY,,,,ICD10_15
2514,J32.909,鼻窦瘘,1,1,29-9月 -15,BDL,,,,ICD10_15
2515,J33.001,鼻甲粘膜息肉,1,1,29-9月 -15,BJNMXR,,,,ICD10_15
2518,J33.004,鼻咽部息肉,1,1,29-9月 -15,BYBXR,,,,ICD10_15
2523,J33.901,鼻息肉,1,1,29-9月 -15,BXR,,,,ICD10_15
2525,J34.002,鼻中隔脓肿,1,1,29-9月 -15,BZGNZ,,,,ICD10_15
2526,J34.003,鼻中隔溃疡,1,1,29-9月 -15,BZGKY,,,,ICD10_15
2528,J34.005,鼻腔溃疡,1,1,29-9月 -15,BQKY,,,,ICD10_15
2529,J34.006,鼻脓肿,1,1,29-9月 -15,BNZ,,,,ICD10_15
2530,J34.007,鼻痈,1,1,29-9月 -15,BY,,,,ICD10_15
2533,J34.010,鼻蜂窝织炎,1,1,29-9月 -15,BFWZY,,,,ICD10_15
2535,J34.101,鼻囊肿,1,1,29-9月 -15,BNZ,,,,ICD10_15
2536,J34.102,蝶窦囊肿,1,1,29-9月 -15,DDNZ,,,,ICD10_15
2537,J34.103,上颌窦囊肿,1,1,29-9月 -15,SHDNZ,,,,ICD10_15
2538,J34.104,额窦囊肿,1,1,29-9月 -15,EDNZ,,,,ICD10_15
2539,J34.105,筛窦囊肿,1,1,29-9月 -15,SDNZ,,,,ICD10_15
2540,J34.106,鼻窦囊肿,1,1,29-9月 -15,BDNZ,,,,ICD10_15
2541,J34.107,鼻前庭囊肿,1,1,29-9月 -15,BQTNZ,,,,ICD10_15
2542,J34.201,鼻中隔偏曲(鼻中隔弯曲),1,1,29-9月 -15,BZGPQBZG,,,,ICD10_15
2544,J34.301,鼻甲肥大,1,1,29-9月 -15,BJFD,,,,ICD10_15
2546,J34.802,鼻中隔穿孔,1,1,29-9月 -15,BZGCK,,,,ICD10_15
2548,J34.804,鼻部感染,1,1,29-9月 -15,BBGR,,,,ICD10_15
2549,J34.805,鼻腔粘连,1,1,29-9月 -15,BQNL,,,,ICD10_15
2553,J34.809,筛窦肿物,1,1,29-9月 -15,SDZW,,,,ICD10_15
2559,J34.816,鼻中隔血肿,1,1,29-9月 -15,BZGXZ,,,,ICD10_15
2561,J34.818,鼻前庭炎,1,1,29-9月 -15,BQTY,,,,ICD10_15
2562,J34.819,鼻腔肿物,1,1,29-9月 -15,BQZW,,,,ICD10_15
2564,J35.001,慢性扁桃体炎,1,1,29-9月 -15,MXBTTY,,,,ICD10_15
2565,J35.101,扁桃体肥大,1,1,29-9月 -15,BTTFD,,,,ICD10_15
2567,J35.201,腺样体肥大,1,1,29-9月 -15,XYTFD,,,,ICD10_15
2570,J35.802,扁桃体角化症,1,1,29-9月 -15,BTTJHZ,,,,ICD10_15
2572,J35.804,扁桃体溃疡,1,1,29-9月 -15,BTTKY,,,,ICD10_15
2573,J35.805,扁桃体息肉,1,1,29-9月 -15,BTTXR,,,,ICD10_15
2575,J35.807,腺样体残体,1,1,29-9月 -15,XYTCT,,,,ICD10_15
2577,J36  01,扁桃体周围脓肿,1,1,29-9月 -15,BTTZWNZ,,,,ICD10_15
2578,J36  02,扁桃体周围炎,1,1,29-9月 -15,BTTZWY,,,,ICD10_15
2579,J36  03,扁桃体脓肿,1,1,29-9月 -15,BTTNZ,,,,ICD10_15
2580,J37.001,慢性喉炎,1,1,29-9月 -15,MXHY,,,,ICD10_15
2581,J37.002,慢性会厌炎,1,1,29-9月 -15,MXHYY,,,,ICD10_15
2582,J37.003,慢性咽喉炎,1,1,29-9月 -15,MXYHY,,,,ICD10_15
2585,J38.001,声带麻痹,1,1,29-9月 -15,SDMB,,,,ICD10_15
2586,J38.002,喉神经麻痹,1,1,29-9月 -15,HSJMB,,,,ICD10_15
2587,J38.003,声带闭合不全,1,1,29-9月 -15,SDBHBQ,,,,ICD10_15
2588,J38.101,声带息肉,1,1,29-9月 -15,SDXR,,,,ICD10_15
2591,J38.202,声带结节,1,1,29-9月 -15,SDJJ,,,,ICD10_15
2598,C31.001,上颌窦恶性肿瘤,1,1,29-9月 -15,SHDEXZL,,,,ICD10_15
2601,C31.301,蝶窦恶性肿瘤,1,1,29-9月 -15,DDEXZL,,,,ICD10_15
2603,C31.901,副鼻窦恶性肿瘤,1,1,29-9月 -15,FBDEXZL,,,,ICD10_15
2604,C32.001,声门恶性肿瘤,1,1,29-9月 -15,SMEXZL,,,,ICD10_15
2605,C32.002,声带恶性肿瘤,1,1,29-9月 -15,SDEXZL,,,,ICD10_15
2606,C32.101,喉外部恶性肿瘤,1,1,29-9月 -15,HWBEXZL,,,,ICD10_15
2607,C32.102,会厌恶性肿瘤,1,1,29-9月 -15,HYEXZL,,,,ICD10_15
2611,C32.901,喉恶性肿瘤,1,1,29-9月 -15,HEXZL,,,,ICD10_15
2612,C33  01,气管恶性肿瘤,1,1,29-9月 -15,QGEXZL,,,,ICD10_15
2613,C34.001,主支气管恶性肿瘤,1,1,29-9月 -15,ZZQGEXZL,,,,ICD10_15
2615,C34.101,肺上叶恶性肿瘤,1,1,29-9月 -15,FSYEXZL,,,,ICD10_15
2617,C34.301,肺下叶恶性肿瘤,1,1,29-9月 -15,FXYEXZL,,,,ICD10_15
2618,C34.801,肺多处恶性肿瘤,1,1,29-9月 -15,FDCEXZL,,,,ICD10_15
2619,C34.901,肺恶性肿瘤,1,1,29-9月 -15,FEXZL,,,,ICD10_15
2620,C34.902,支气管恶性肿瘤,1,1,29-9月 -15,ZQGEXZL,,,,ICD10_15
2623,C37  01,胸腺恶性肿瘤,1,1,29-9月 -15,XXEXZL,,,,ICD10_15
2624,C38.001,心包恶性肿瘤,1,1,29-9月 -15,XBEXZL,,,,ICD10_15
2628,C38.201,后纵隔恶性肿瘤,1,1,29-9月 -15,HZGEXZL,,,,ICD10_15
2629,C38.301,纵隔恶性肿瘤,1,1,29-9月 -15,ZGEXZL,,,,ICD10_15
2631,C38.402,胸膜恶性肿瘤,1,1,29-9月 -15,XMEXZL,,,,ICD10_15
2632,C39.801,"鼻腔,鼻窦恶性肿瘤",1,1,29-9月 -15,BQBDEXZL,,,,ICD10_15
2633,C40.001,肱骨恶性肿瘤,1,1,29-9月 -15,GGEXZL,,,,ICD10_15
2634,C40.002,肩胛骨恶性肿瘤,1,1,29-9月 -15,JJGEXZL,,,,ICD10_15
2636,C40.004+M90.723*,病理性肱骨骨折，骨恶性肿瘤引起,1,1,29-9月 -15,BLXGGGZD,,,,ICD10_15
2640,C40.201,股骨恶性肿瘤,1,1,29-9月 -15,GGEXZL,,,,ICD10_15
2641,C40.202,胫骨恶性肿瘤,1,1,29-9月 -15,JGEXZL,,,,ICD10_15
2644,C40.301,趾骨恶性肿瘤,1,1,29-9月 -15,ZGEXZL,,,,ICD10_15
2652,C41.007,颅骨恶性肿瘤,1,1,29-9月 -15,LGEXZL,,,,ICD10_15
2653,C41.008,枕骨恶性肿瘤,1,1,29-9月 -15,ZGEXZL,,,,ICD10_15
2655,C41.101,下颌骨牙源性恶性肿瘤,1,1,29-9月 -15,XHGYYXEX,,,,ICD10_15
2656,C41.201,颈椎恶性肿瘤,1,1,29-9月 -15,JZEXZL,,,,ICD10_15
2657,C41.202,胸椎恶性肿瘤,1,1,29-9月 -15,XZEXZL,,,,ICD10_15
2658,C41.203,腰椎恶性肿瘤,1,1,29-9月 -15,YZEXZL,,,,ICD10_15
2659,C41.204,脊柱恶性肿瘤,1,1,29-9月 -15,JZEXZL,,,,ICD10_15
2660,C41.205,椎体恶性肿瘤,1,1,29-9月 -15,ZTEXZL,,,,ICD10_15
2661,C41.301,锁骨恶性肿瘤,1,1,29-9月 -15,SGEXZL,,,,ICD10_15
2662,C41.302,胸骨恶性肿瘤,1,1,29-9月 -15,XGEXZL,,,,ICD10_15
2664,C41.401,骶骨恶性肿瘤,1,1,29-9月 -15,DGEXZL,,,,ICD10_15
2665,C41.402,髂骨恶性肿瘤,1,1,29-9月 -15,QGEXZL,,,,ICD10_15
2666,C41.403,耻骨恶性肿瘤,1,1,29-9月 -15,CGEXZL,,,,ICD10_15
2667,C41.404,骨盆恶性肿瘤,1,1,29-9月 -15,GPEXZL,,,,ICD10_15
2668,C41.901,骨恶性肿瘤,1,1,29-9月 -15,GEXZL,,,,ICD10_15
2669,C41.902,软骨恶性肿瘤,1,1,29-9月 -15,RGEXZL,,,,ICD10_15
2671,C43.101,眼睑黑色素瘤,1,1,29-9月 -15,YJHSSL,,,,ICD10_15
2673,C43.301,鼻黑色素瘤,1,1,29-9月 -15,BHSSL,,,,ICD10_15
2677,C43.501,腹股沟黑色素瘤,1,1,29-9月 -15,FGGHSSL,,,,ICD10_15
2678,C43.502,躯干黑色素瘤,1,1,29-9月 -15,QGHSSL,,,,ICD10_15
2679,C43.601,上肢黑色素瘤,1,1,29-9月 -15,SZHSSL,,,,ICD10_15
2680,C43.701,下肢黑色素瘤,1,1,29-9月 -15,XZHSSL,,,,ICD10_15
2681,C43.901,皮肤黑色素瘤,1,1,29-9月 -15,PFHSSL,,,,ICD10_15
2686,C44.202,外耳道恶性肿瘤,1,1,29-9月 -15,WEDEXZL,,,,ICD10_15
2687,C44.301,额部皮肤恶性肿瘤,1,1,29-9月 -15,EBPFEXZL,,,,ICD10_15
2688,C44.302,面部皮肤恶性肿瘤,1,1,29-9月 -15,MBPFEXZL,,,,ICD10_15
2690,C44.304,颞部皮肤恶性肿瘤,1,1,29-9月 -15,NBPFEXZL,,,,ICD10_15
2691,C44.401,头皮皮肤恶性肿瘤,1,1,29-9月 -15,TPPFEXZL,,,,ICD10_15
2694,C44.502,胸部皮肤恶性肿瘤,1,1,29-9月 -15,XBPFEXZL,,,,ICD10_15
2699,C44.507,会阴皮肤恶性肿瘤,1,1,29-9月 -15,HYPFEXZL,,,,ICD10_15
2703,C44.701,下肢皮肤恶性肿瘤,1,1,29-9月 -15,XZPFEXZL,,,,ICD10_15
2705,C44.901,皮肤恶性肿瘤,1,1,29-9月 -15,PFEXZL,,,,ICD10_15
2707,C45.001,胸膜间皮瘤,1,1,29-9月 -15,XMJPL,,,,ICD10_15
2710,E11.503+I79.204*,2型糖尿病性大血管病变,1,1,29-9月 -15,XTNBXDXG,,,,ICD10_15
2711,E11.601,2型糖尿病性牙周病,1,1,29-9月 -15,XTNBXYZB,,,,ICD10_15
2714,E11.604,2型糖尿病性皮肤病,1,1,29-9月 -15,XTNBXPFB,,,,ICD10_15
2716,E11.701,2型糖尿病伴多个并发症,1,1,29-9月 -15,XTNBBDGB,,,,ICD10_15
2717,E11.702,2型糖尿病足,1,1,29-9月 -15,XTNBZ,,,,ICD10_15
2718,E11.901,2型糖尿病(NIDDM),1,1,29-9月 -15,XTNBNIDD,,,,ICD10_15
2720,E13.202+N08.304*,继发性糖尿病肾病,1,1,29-9月 -15,JFXTNBSB,,,,ICD10_15
2722,E13.302+H36.002*,继发性糖尿病视网膜病变,1,1,29-9月 -15,JFXTNBSW,,,,ICD10_15
2726,E13.901,继发性糖尿病,1,1,29-9月 -15,JFXTNB,,,,ICD10_15
2733,E14.101,糖尿病性酮症,1,1,29-9月 -15,TNBXTZ,,,,ICD10_15
2734,E14.102,糖尿病酮症酸中毒,1,1,29-9月 -15,TNBTZSZD,,,,ICD10_15
2735,E14.201+N08.303*,糖尿病性肾病,1,1,29-9月 -15,TNBXSB,,,,ICD10_15
2737,E14.302+H48.001*,视神经萎缩糖尿病综合征(Wolfram综合征),1,1,29-9月 -15,SSJWSTNB,,,,ICD10_15
2738,E14.303+H28.003*,糖尿病性白内障,1,1,29-9月 -15,TNBXBNZ,,,,ICD10_15
2739,E14.304+H36.003*,糖尿病性视网膜病,1,1,29-9月 -15,TNBXSWMB,,,,ICD10_15
2741,E14.401+G63.201*,糖尿病性多神经炎,1,1,29-9月 -15,TNBXDSJY,,,,ICD10_15
2742,E14.402+G59.002*,糖尿病性单神经病变,1,1,29-9月 -15,TNBXDSJB,,,,ICD10_15
2743,E14.403+G63.202*,糖尿病性神经病变,1,1,29-9月 -15,TNBXSJBB,,,,ICD10_15
2744,E14.404+G59.001*,糖尿病性周围神经病,1,1,29-9月 -15,TNBXZWSJ,,,,ICD10_15
2746,E14.406+G99.001*,糖尿病性自主神经紊乱,1,1,29-9月 -15,TNBXZZSJ,,,,ICD10_15
2748,E14.408+G63.203*,糖尿病性多神经病变,1,1,29-9月 -15,TNBXDSJB,,,,ICD10_15
2749,E14.409+G99.002*,糖尿病性胃轻瘫,1,1,29-9月 -15,TNBXWQT,,,,ICD10_15
2750,E14.501,糖尿病性坏疽,1,1,29-9月 -15,TNBXHJ,,,,ICD10_15
2751,E14.502+I79.201*,糖尿病性脑血管病变,1,1,29-9月 -15,TNBXNXGB,,,,ICD10_15
2752,E14.503+I79.202*,糖尿病性周围血管病变,1,1,29-9月 -15,TNBXZWXG,,,,ICD10_15
2754,E14.602,糖尿病性皮肤病,1,1,29-9月 -15,TNBXPFB,,,,ICD10_15
2757,E14.901,糖尿病,1,1,29-9月 -15,TNB,,,,ICD10_15
2758,E15  01,低血糖性昏迷,1,1,29-9月 -15,DXTXHM,,,,ICD10_15
2759,E16.001,药物性低血糖,1,1,29-9月 -15,YWXDXT,,,,ICD10_15
2761,E16.102,反应性低血糖,1,1,29-9月 -15,FYXDXT,,,,ICD10_15
2762,E16.201,低血糖症,1,1,29-9月 -15,DXTZ,,,,ICD10_15
2771,E20.001,原发性甲状旁腺功能减退,1,1,29-9月 -15,YFXJZPXG,,,,ICD10_15
2774,E20.901,甲状旁腺机能减退,1,1,29-9月 -15,JZPXJNJT,,,,ICD10_15
2775,E21.001,原发性甲状旁腺机能亢进,1,1,29-9月 -15,YFXJZPXJ,,,,ICD10_15
2778,E21.004,甲状旁腺增生,1,1,29-9月 -15,JZPXZS,,,,ICD10_15
2780,E21.101,继发性甲状旁腺功能亢进,1,1,29-9月 -15,JFXJZPXG,,,,ICD10_15
2781,E21.301,甲状旁腺功能亢进,1,1,29-9月 -15,JZPXGNKJ,,,,ICD10_15
2782,E21.401,甲状旁腺囊肿,1,1,29-9月 -15,JZPXNZ,,,,ICD10_15
2785,E22.002,肢端肥大症,1,1,29-9月 -15,ZDFDZ,,,,ICD10_15
2788,E22.102,垂体泌乳素瘤,1,1,29-9月 -15,CTMRSL,,,,ICD10_15
2789,E22.201,抗利尿激素(ADH)分泌不当综合征,1,1,29-9月 -15,KLNJSADH,,,,ICD10_15
2792,E23.001,垂体机能减退综合征(Simmond病),1,1,29-9月 -15,CTJNJTZH,,,,ICD10_15
2793,E23.002,全垂体机能减退,1,1,29-9月 -15,QCTJNJT,,,,ICD10_15
2794,E23.003,席汉综合征(Sheehan),1,1,29-9月 -15,XHZHZSHE,,,,ICD10_15
2797,E23.006,垂体前叶功能低下,1,1,29-9月 -15,CTQYGNDX,,,,ICD10_15
2798,E23.007,特发性低促性腺激素型性腺机能减退症,1,1,29-9月 -15,TFXDCXXJ,,,,ICD10_15
2799,E23.007,Kallmann综合征,1,1,29-9月 -15,KALLMANN,,,,ICD10_15
2800,E23.007,嗅觉缺失－类无睾综合征,1,1,29-9月 -15,XJQSDLWG,,,,ICD10_15
2802,E23.009,垂体功能低下,1,1,29-9月 -15,CTGNDX,,,,ICD10_15
2808,E23.202,中枢性尿崩症,1,1,29-9月 -15,ZSXNBZ,,,,ICD10_15
2809,E23.202,垂体性尿崩症,1,1,29-9月 -15,CTXNBZ,,,,ICD10_15
2810,E23.202,抗利尿激素分泌不足,1,1,29-9月 -15,KLNJSFMB,,,,ICD10_15
2811,E23.301,下丘脑综合征,1,1,29-9月 -15,XQNZHZ,,,,ICD10_15
2813,E23.601,空泡蝶鞍综合征,1,1,29-9月 -15,KPDAZHZ,,,,ICD10_15
2815,E23.603,肥胖性生殖无能症,1,1,29-9月 -15,FPXSZWNZ,,,,ICD10_15
2816,E23.603,Frohlich综合征,1,1,29-9月 -15,FROHLICH,,,,ICD10_15
2822,H31.402,创伤性脉络膜脱离,1,1,29-9月 -15,CSXMLMTL,,,,ICD10_15
2834,H33.201,视网膜脱离,1,1,29-9月 -15,SWMTL,,,,ICD10_15
2836,H33.203,浆液性视网膜脱离,1,1,29-9月 -15,JYXSWMTL,,,,ICD10_15
2837,H33.301,视网膜裂孔,1,1,29-9月 -15,SWMLK,,,,ICD10_15
2838,H33.302,视网膜破裂,1,1,29-9月 -15,SWMPL,,,,ICD10_15
2839,H33.303,创伤性视网膜裂孔,1,1,29-9月 -15,CSXSWMLK,,,,ICD10_15
2843,H33.501,渗出性视网膜脱离,1,1,29-9月 -15,SCXSWMTL,,,,ICD10_15
2847,H33.505,创伤性视网膜脱离,1,1,29-9月 -15,CSXSWMTL,,,,ICD10_15
2852,H34.101,视网膜中央动脉阻塞,1,1,29-9月 -15,SWMZYDMZ,,,,ICD10_15
2854,H34.201,视网膜动脉阻塞,1,1,29-9月 -15,SWMDMZS,,,,ICD10_15
2855,H34.202,眼动脉栓塞,1,1,29-9月 -15,YDMSS,,,,ICD10_15
2856,H34.203,视网膜动脉痉挛,1,1,29-9月 -15,SWMDMJL,,,,ICD10_15
